cb_id,avg_fsq_review,avg_yelp_review,avg_yelp_rating,name,latitude,longitude,free_bikes
cb_0,19.8,297.85,4.025,10th & Cambie,49.262487,-123.114397,21
cb_1,17.4,781.2,4.225,Yaletown-Roundhouse Station,49.274566,-123.121817,9
cb_10,25.4,893.7,4.175,Pender & Burrard,49.287097,-123.118551,13
cb_100,21.5,208.4,4.025,Pine & 14th,49.258864,-123.14353,0
cb_101,24.0,287.0,4.075,York & Yew,49.271741,-123.155421,5
cb_102,12.7,327.25,4.15,Pine & 10th,49.262822,-123.14338,4
cb_103,27.0,321.55,4.2,8th & Scotia,49.263635,-123.099236,6
cb_104,34.8,806.1,4.175,Alberni & Jervis,49.28763,-123.127245,7
cb_105,15.285714285714286,529.5,4.340909090909091,Stanley Park - Information Booth,49.297933,-123.130758,11
cb_106,19.555555555555557,211.05,4.1,14th & Alder,49.258819,-123.131317,8
cb_107,19.4,573.85,4.2,Pender & Gore,49.280284,-123.097052,9
cb_108,26.22222222222222,780.25,4.3,Carrall & Seawall,49.276294,-123.106534,14
cb_109,16.8,182.75,4.25,Glen & Union,49.277469,-123.081315,8
cb_11,25.3,794.35,4.225,Marinaside & Davie,49.273471,-123.118016,20
cb_110,16.666666666666668,219.6,4.15,Adanac & McLean,49.277665,-123.073653,21
cb_111,15.11111111111111,219.25,4.15,Commercial & Adanac,49.277436,-123.070427,3
cb_112,12.625,215.55,4.175,Pender & Commercial,49.280332,-123.070068,8
cb_113,27.875,410.55,4.15,Keefer & Princess,49.279369,-123.091241,6
cb_114,19.77777777777778,400.35,4.2,Alexander & Railway,49.283992,-123.091206,9
cb_115,15.7,244.85,4.125,Napier & Commercial,49.274881,-123.069323,7
cb_116,18.555555555555557,224.15,4.1,Britannia Parking Lot,49.275882,-123.071865,11
cb_117,12.0,317.45,4.175,Thornton & National,49.273777,-123.092723,6
cb_118,30.0,269.7,4.075,Keith & 6th,49.265005,-123.079481,10
cb_119,10.333333333333334,254.5,4.125,Glen & 6th,49.265024,-123.08127,8
cb_12,17.0,911.8,4.2,Robson & Hornby,49.282758,-123.122092,7
cb_120,14.2,218.75,4.025,Grant & Commercial,49.271377,-123.069416,3
cb_121,19.5,245.35,4.025,2nd & Commercial,49.268616,-123.069908,6
cb_122,29.6,229.15,3.925,4th & Commercial,49.266969,-123.069936,7
cb_123,38.44444444444444,201.55,3.9,8th & Commercial,49.263242,-123.070521,17
cb_124,36.125,200.35,3.875,10th & Commercial,49.261403,-123.070102,4
cb_125,40.0,193.3,3.875,Woodland & 10th,49.261263,-123.073707,4
cb_126,26.428571428571427,255.3,4.15,Glen & Broadway,49.262242,-123.081459,6
cb_127,41.9,305.4,4.2,St George & Broadway,49.262321,-123.09306,6
cb_128,45.8,203.1,3.925,7th & Woodland,49.264251,-123.073853,2
cb_129,31.9,229.25,3.975,Woodland & 4th,49.266751,-123.073501,4
cb_13,24.1,905.4,4.2,Cordova & Granville,49.286042,-123.113176,21
cb_130,17.6,231.05,4.025,Woodland & Graveley,49.270684,-123.073562,5
cb_131,21.7,255.1,4.075,Charles & Woodland,49.2731,-123.0732,9
cb_132,17.1,414.6,4.15,18th & Main,49.254667,-123.101389,6
cb_133,33.6,342.9,4.125,Prince Edward & 16th,49.256694,-123.096579,5
cb_134,34.6,329.9,4.15,Prince Edward & 14th,49.258352,-123.096337,5
cb_135,34.5,293.5,4.15,13th & St George,49.258817,-123.092797,11
cb_136,38.77777777777778,298.6,4.175,10th & Fraser,49.26151,-123.089413,4
cb_137,26.875,292.9,4.15,8th & Fraser,49.263382,-123.088837,6
cb_138,41.375,192.95,4.1,St Catherines & 10th,49.261353,-123.085333,3
cb_139,27.5,188.75,4.125,St Catherines & 7th,49.264466,-123.085183,5
cb_14,23.4,920.1,4.175,Hornby & Pender,49.28602,-123.116624,19
cb_140,12.1,213.3,4.125,Pender & Victoria,49.280197,-123.065859,4
cb_141,33.1,229.05,3.975,Victoria & 4th,49.266725,-123.065925,5
cb_142,41.888888888888886,200.95,3.85,Victoria & 10th,49.261188,-123.066009,4
cb_143,16.714285714285715,168.35,4.0,15th & Victoria (Trout Lake),49.256857,-123.065646,5
cb_144,27.125,175.1,4.2,Triumph & Victoria,49.283986,-123.065264,6
cb_145,30.2,244.7,4.15,Windsor & 14th,49.257985,-123.083366,6
cb_146,32.1,312.15,4.175,14th & Fraser,49.257939,-123.089531,2
cb_147,17.444444444444443,158.3,4.1,15th & Knight,49.256496,-123.075426,7
cb_148,13.0,185.0,4.275,Commercial & Pandora,49.283236,-123.070443,12
cb_149,28.77777777777778,179.1,4.275,Carolina & Great Northern Way,49.267266,-123.090786,10
cb_15,32.2,895.3,4.275,Homer & Robson (Vancouver Public Library),49.279739,-123.116251,7
cb_150,27.5,280.65,4.2,6th & Prince Edward,49.265242,-123.095577,5
cb_151,32.3,278.7,4.2,6th & Carolina,49.265213,-123.090785,6
cb_152,12.0,53.666666666666664,3.9444444444444446,Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,15
cb_153,22.3,446.4,4.2,Union & Dunlevy,49.277595,-123.09583,6
cb_154,24.75,327.25,4.225,Keefer & Hawks,49.279235,-123.087528,13
cb_155,23.0,334.85,4.225,Hawks & Union,49.277333,-123.087359,7
cb_156,18.2,253.2,4.075,Charles & Commercial,49.273103,-123.069892,5
cb_157,32.9,307.6,4.175,10th & Kingsway,49.261973,-123.09725,6
cb_158,15.1,503.4,4.25,Beach & Hornby,49.275295,-123.132585,6
cb_159,17.0,892.1,4.175,Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,15
cb_16,29.2,863.35,4.225,Beatty & Robson,49.277483,-123.114279,3
cb_160,30.5,831.75,4.2,Bute & Barclay,49.284893,-123.128685,4
cb_161,32.0,291.15,4.075,8th & Yukon,49.263962,-123.112621,13
cb_162,29.666666666666668,411.3,4.175,Princess & Union,49.277615,-123.091654,6
cb_163,15.4,933.1,4.225,Dunsmuir & Richards,49.282214,-123.114101,13
cb_164,23.3,257.6,4.2,5th & Main,49.266456,-123.100324,13
cb_165,19.8,235.3,4.125,3rd & Quebec,49.268216,-123.103168,17
cb_166,20.0,879.3,4.2,Richards & Cordova,49.284554,-123.111031,16
cb_167,25.2,947.9,4.225,Richards & Robson,49.280216,-123.117639,11
cb_168,26.333333333333332,424.95,4.025,Olympic Village Station,49.266314,-123.116011,16
cb_169,23.8,259.95,4.3,Campbell & Hastings,49.280852,-123.084746,8
cb_17,25.0,796.6,4.275,Beatty & Nelson,49.275679,-123.116963,6
cb_170,27.2,644.35,4.225,Cardero & Davie,49.285512,-123.1384,3
cb_171,31.22222222222222,502.05,4.2,Aquatic Centre,49.27821,-123.136972,22
cb_172,40.1,456.5,4.25,Beach & Broughton,49.281301,-123.139108,16
cb_173,25.6,556.7,4.25,Beach & Cardero,49.283298,-123.142288,20
cb_174,30.7,892.15,4.25,Georgia & Homer,49.280787,-123.115271,2
cb_175,17.3,409.6,4.075,Columbia & 5th,49.266476,-123.109389,14
cb_176,24.1,691.55,4.25,Haro & Denman,49.290587,-123.13625,14
cb_177,5.5,20.77777777777778,4.166666666666667,Stanley Park - Prospect Point,49.312568,-123.144177,6
cb_178,18.1,292.2,4.15,Arbutus & 10th,49.262835,-123.152626,5
cb_179,25.4,364.7,4.075,Ontario & 16th,49.256825,-123.105234,4
cb_18,8.0,874.15,4.25,Abbott & Cordova,49.282759,-123.106955,9
cb_180,17.1,706.95,4.225,Richards & Davie,49.275683,-123.124388,6
cb_181,30.1,307.6,4.175,8th & Prince Edward,49.263518,-123.09568,6
cb_182,38.2,819.4,4.175,Jervis & Robson,49.28691,-123.128818,1
cb_183,17.1,868.9,4.175,Smithe & Burrard,49.282503,-123.124697,8
cb_184,37.5,689.6,4.175,Broughton & Davie,49.283749,-123.136133,1
cb_185,13.9,311.6,4.15,Cypress & 10th,49.262944,-123.148109,5
cb_186,11.6,382.15,4.2,Granville Island,49.27029,-123.135025,13
cb_187,14.11111111111111,195.65,4.2,McLean & Pender,49.280427,-123.074082,9
cb_188,20.2,898.05,4.3,Richards & Smithe,49.279259,-123.119145,2
