title,name,address,lat,long,rating,review_count,site,cb_id
Mexican,La Taqueria Pinche Taco Shop,"['2450 Yukon Street', 'Vancouver, BC V5Z 3V6', 'Canada']",49.263559,-123.112736,4.0,680,Yelp,cb_0
Noodles,Peaceful Restaurant,"['110-532 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",49.263147,-123.116143,3.5,620,Yelp,cb_0
Cafes,Marulilu Cafe,"['451 W Broadway', 'Vancouver, BC V5Y 1R4', 'Canada']",49.26338,-123.11415,4.0,284,Yelp,cb_0
Japanese,Saku,"['548 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",49.2631251,-123.1166034,4.5,202,Yelp,cb_0
Soup,Hokkaido Ramen Santouka,"['558 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",49.263127,-123.1168917,4.0,221,Yelp,cb_0
Indian,Vij's Restaurant,"['3106 Cambie Street', 'Vancouver, BC V5Z 2W2', 'Canada']",49.25754,-123.11479,4.0,375,Yelp,cb_0
Indian,Indian Roti Kitchen,"['2961 Cambie Street', 'Vancouver, BC V5Z 2V7', 'Canada']",49.25901,-123.11538,4.5,158,Yelp,cb_0
Breakfast & Brunch,Yolks,"['546 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",49.2631139,-123.1163529,3.5,343,Yelp,cb_0
Sushi Bars,Uma Sushi,"['450 W 8th Avenue', 'Vancouver, BC V5Y 1N9', 'Canada']",49.2638048,-123.1137294,4.5,109,Yelp,cb_0
Coffee & Tea,Passion8 Dessert Cafe,"['3010 Cambie Street', 'Vancouver, BC V5Z 2V9', 'Canada']",49.258435242883,-123.11499774456,4.0,206,Yelp,cb_0
Sushi Bars,Shiro,"['3096 Cambie Street', 'Vancouver, BC V5Z 2V9', 'Canada']",49.2580042,-123.1149151,4.0,244,Yelp,cb_0
Sushi Bars,Sushi California,"['388 W Broadway', 'Vancouver, BC V5Y 4A8', 'Canada']",49.2630454633729,-123.112614326016,3.5,316,Yelp,cb_0
Ice Cream & Frozen Yogurt,Earnest Ice Cream,"['1829 Quebec Street', 'Vancouver, BC V5T 2Z3', 'Canada']",49.2688628769236,-123.102919221177,4.5,371,Yelp,cb_0
Donuts,49th Parallel Coffee,"['2902 Main Street', 'Vancouver, BC V5T 0C1', 'Canada']",49.2591330651218,-123.10088478104,4.0,498,Yelp,cb_0
Ice Cream & Frozen Yogurt,Rain or Shine Ice Cream,"['3382 Cambie Street', 'Vancouver, BC V5Z 3K7', 'Canada']",49.2551458,-123.1149293,4.5,235,Yelp,cb_0
Japanese,Toshi Sushi,"['181 East 16th Avenue', 'Vancouver, BC V5T 4R2', 'Canada']",49.256699,-123.101936,4.0,437,Yelp,cb_0
Art Galleries,Aperture Coffee Bar,"['243 W Broadway', 'Vancouver, BC V5Y 3L1', 'Canada']",49.2632037459,-123.110469593,4.0,123,Yelp,cb_0
Bakeries,Elysian Coffee,"['590 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",49.26294,-123.11728,3.5,208,Yelp,cb_0
Poke,Westcoast Poke,"['463 W 8th Avenue', 'Vancouver, BC V5Y 3Z5', 'Canada']",49.26409,-123.1140415,4.0,170,Yelp,cb_0
Bistros,Caffe Cittadella,"['2310 Ash Street', 'Vancouver, BC V5Z 3C2', 'Canada']",49.264809386635505,-123.11726668221056,4.0,157,Yelp,cb_0
Seafood,Blue Water Cafe,"['1095 Hamilton St', 'Vancouver, BC V6B 5T4', 'Canada']",49.2761945,-123.1209935,4.5,1042,Yelp,cb_1
Seafood,The Flying Pig,"['1168 Hamilton Street', 'Unit 104', 'Vancouver, BC V6B 2S2', 'Canada']",49.27501,-123.122,4.0,1254,Yelp,cb_1
Wine Bars,Medina Cafe,"['780 Richards Street', 'Vancouver, BC V6B 3A4', 'Canada']",49.2804429972571,-123.117036269849,4.0,2556,Yelp,cb_1
Sushi Bars,Minami,"['1118 Mainland Street', 'Vancouver, BC V6B 2T9', 'Canada']",49.2752733,-123.1207029,4.0,738,Yelp,cb_1
Seafood,Rodney's Oyster House,"['1228 Hamilton Street', 'Vancouver, BC V6B 6L2', 'Canada']",49.2744326,-123.1232482,4.0,803,Yelp,cb_1
