station,category,name,address,lat,long,distance(m)
Cégep Marie-Victorin,Café,Café l'Exil,"7000 Marie-Victorin Rue, Montréal QC H1G 2J6",45.617214,-73.604961,79
Cégep Marie-Victorin,Playground,Fun O Max,"7000 Marie-Victorin Rue, Montreal QC H1G 2J6",45.618397,-73.605533,106
Cégep Marie-Victorin,,"Wear It Smart Montreal - 2016, Oct. 19-20","7000 Marie-Victorin Rue, Montreal QC H1G 2J6",45.617362,-73.606082,16
Cégep Marie-Victorin,Bakery,Resto Capucine,"7000 Maurice du Plessis Blvd (Coin Albert-Hudon), Montréal QC H1G 0A1",45.619509,-73.609503,240
Cégep Marie-Victorin,Sports Bar,Resto-bar Capucine - Nord-Est de Montréal,"7000 Maurice-Duplessis Blvd, Montreal QC",45.618905,-73.608463,246
Cégep Marie-Victorin,Soccer Club,Ars Bourassa,"7000 Maurice-Duplessis Blvd, Montreal QC H1G 0A1",45.619395,-73.609499,343
Cégep Marie-Victorin,Grocery Store / Supermarket,Boeuf Mérite-Division Metro Richelieu Inc,"11701 Albert-Hudon Blvd, Montreal-Nord QC H1G 3K6",45.617381,-73.610647,360
Cégep Marie-Victorin,Bank,BMO Bank of Montreal,"11281 Albert-Hudon Blvd, Montreal-Nord QC H1G 3J5",45.614233,-73.606125,363
Cégep Marie-Victorin,Business and Professional Services,Sobeys montreal nord,"11281 Albert-Hudon Blvd, Montreal-Nord QC",45.614967,-73.609159,372
Cégep Marie-Victorin,Automotive Repair Shop,Sefor,"6900 Gouin Blvd E, Montreal-Nord QC H1G 6L9",45.619326,-73.610128,378
Gare d'autocars de Montréal (Berri / Ontario),Amusement Park,Randolph Pub Ludique,"2041 Saint-Denis Rue, Montréal QC H2X 3K8",45.516381,-73.565815,145
Gare d'autocars de Montréal (Berri / Ontario),Music Venue,Le 4e Mur,"2021 Saint-Denis Rue (rue Ontario), Montréal QC H2X 3K8",45.516216,-73.565568,132
Gare d'autocars de Montréal (Berri / Ontario),Arcade,Arcade MTL,"2031 Saint-Denis Rue (Ontario Est), Montréal QC H2X 3K8",45.516495,-73.565819,132
Gare d'autocars de Montréal (Berri / Ontario),Bar,Le Saint Bock,"1749 Saint-Denis Rue (coin Ontario), Montréal QC H2X 3K4",45.515893,-73.564685,132
Gare d'autocars de Montréal (Berri / Ontario),Burger Joint,Frite Alors,"1710 Saint-Denis Rue (entre Ontario et Emery), Montréal QC H2X 3K6",45.515385,-73.564524,157
Gare d'autocars de Montréal (Berri / Ontario),Brewery,Le Cheval Blanc,"809 Ontario Rue E (entre St-Hubert & St-Christophe), Montréal QC H2L 1P1",45.51817,-73.564467,156
Gare d'autocars de Montréal (Berri / Ontario),Lounge,Brasserie Artisanale l'Amère a Boire Inc,"2049 Saint-Denis Rue (entre Ontario & Sherbrooke), Montréal QC H2X 3K8",45.516435,-73.565962,149
Gare d'autocars de Montréal (Berri / Ontario),Pub,Patrick'S Pub Irlandais,"1707 Saint-Denis Rue (entre Ontario & De Maisonneuve), Montréal QC H2X 3K4",45.515508,-73.564043,158
Gare d'autocars de Montréal (Berri / Ontario),Café,Maison de Thé Camellia Sinensis,"351 Emery Rue (entre St-Denis & Sanguinet), Montréal QC H2X 1J2",45.514661,-73.563774,244
Gare d'autocars de Montréal (Berri / Ontario),Coffee Shop,Café Gitana,"2080A Saint-Denis Rue (entre Sherbrooke & Ontario), Montréal QC H2X 3K7",45.516256,-73.566392,173
Molson / William-Tremblay,French Restaurant,Hoogan et Beaufort,"4095 Molson Rue, Montréal QC H1Y 3L1",45.542278,-73.563684,129
Molson / William-Tremblay,Bakery,Mamie Clafoutis,"4093 Molson Rue (Rue William-Tremblay), Montréal QC H1Y 3L1",45.542052,-73.56358,119
Molson / William-Tremblay,Massage Clinic,Spa Escale Santé,"4050 Molson Rue, Montréal QC H1Y 3N1",45.541231,-73.562051,125
Molson / William-Tremblay,Liquor Store,SAQ Sélection,"4125 Andre-Laurendeau Rue (coin William Tremblay), Montréal QC H1Y 0A5",45.543369,-73.563088,258
Molson / William-Tremblay,Drugstore,Uniprix,"4101 Molson Rue, Montréal QC H1Y 3L1",45.541802,-73.564735,47
Molson / William-Tremblay,Convenience Store,Toutes les Choses Parfaites,"2601 William-Tremblay Rue, Montréal QC H1Y 0E2",45.542142,-73.564746,59
Molson / William-Tremblay,Advertising Agency,Alto Design,"2600 William-Tremblay Rue, Montréal QC H1Y 3J2",45.542373,-73.564559,96
Molson / William-Tremblay,Pizzeria,Pizzeria No.900,"4091 Molson Rue, Montréal QC H1Y 3L1",45.542041,-73.564161,97
Molson / William-Tremblay,Film Studio,Mels,"2600 William-Tremblay Rue, Montréal QC H1Y 3J2",45.54215,-73.564358,100
