name,latitude,longitude,free_bikes,cb_id
10th & Cambie,49.262487,-123.114397,21,cb_0
Yaletown-Roundhouse Station,49.274566,-123.121817,9,cb_1
Dunsmuir & Beatty,49.279764,-123.110154,13,cb_2
12th & Yukon (City Hall),49.260599,-123.113504,2,cb_3
8th & Ash,49.264215,-123.117772,9,cb_4
Spyglass & Seawall,49.270877,-123.115103,11,cb_5
Stamps Landing,49.26893,-123.11813,2,cb_6
Ontario & Seawall,49.271721,-123.104207,7,cb_7
Canada Place,49.287214,-123.11287,20,cb_8
Granville & Georgia,49.282409,-123.118541,11,cb_9
Pender & Burrard,49.287097,-123.118551,13,cb_10
Marinaside & Davie,49.273471,-123.118016,20,cb_11
Robson & Hornby,49.282758,-123.122092,7,cb_12
Cordova & Granville,49.286042,-123.113176,21,cb_13
Hornby & Pender,49.28602,-123.116624,19,cb_14
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,7,cb_15
Beatty & Robson,49.277483,-123.114279,3,cb_16
Beatty & Nelson,49.275679,-123.116963,6,cb_17
Abbott & Cordova,49.282759,-123.106955,9,cb_18
Comox & Denman,49.288444,-123.139203,15,cb_19
Cordova & Bute,49.289124,-123.12196,12,cb_20
Hornby & Nelson,49.28062,-123.12482,3,cb_21
Helmcken & Burrard,49.279938,-123.127478,12,cb_22
Pacific & Richards,49.273663,-123.127075,1,cb_23
Chilco & Beach,49.28972,-123.144028,2,cb_24
Comox & Broughton,49.285253,-123.134356,4,cb_25
Bute & Comox,49.283343,-123.131099,7,cb_26
Cambie & Water,49.284605,-123.108662,24,cb_27
Keefer & Abbott,49.279821,-123.10802,26,cb_28
Expo & Carrall,49.278004,-123.105664,7,cb_29
Keefer & Columbia,49.279342,-123.101822,11,cb_30
Marinaside & Cooperage,49.273833,-123.114373,22,cb_31
Bidwell & Burnaby,49.28526,-123.141809,19,cb_32
Robson & Granville,49.281506,-123.120101,13,cb_33
Expo & Smithe,49.276115,-123.114496,6,cb_34
Cypress & Cornwall,49.272827,-123.147744,10,cb_35
Anderson & 2nd,49.269361,-123.13782,15,cb_36
7th & Granville,49.2653,-123.13811,12,cb_37
10th & Granville,49.262598,-123.138921,3,cb_38
14th & Granville,49.25894,-123.139272,9,cb_39
14th & Cambie,49.258763,-123.115392,5,cb_40
Ontario & 5th,49.266724,-123.104824,14,cb_41
10th & Main,49.262141,-123.101961,3,cb_42
Cypress & 4th,49.268269,-123.147885,10,cb_43
Vanier Park,49.275717,-123.142564,25,cb_44
Nelson & Mainland,49.276436,-123.11877,11,cb_45
Nelson & Richards,49.277844,-123.120942,9,cb_46
7th & Heather,49.265089,-123.119425,14,cb_47
Harwood & Bute,49.28026,-123.135244,0,cb_48
Chilco & Barclay,49.291909,-123.140713,0,cb_49
Chilco & Robson,49.293257,-123.138563,7,cb_50
Nicola & Robson,49.288011,-123.132006,7,cb_51
Carrall & Hastings,49.28117,-123.104419,18,cb_52
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,6,cb_53
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,10,cb_54
Stanley Park - Second Beach North,49.29534,-123.150433,12,cb_55
Stanley Park - Second Beach South,49.294318,-123.148808,8,cb_56
Stanley Park - Totem Poles,49.298657,-123.121176,10,cb_57
Heather & 14th,49.259183,-123.120126,8,cb_58
8th & Ontario,49.263837,-123.105173,3,cb_59
1st & Chestnut,49.270721,-123.146175,9,cb_60
7th & Arbutus,49.265605,-123.152566,9,cb_61
5th & Arbutus,49.267222,-123.153157,5,cb_62
10th & Oak,49.262255,-123.126217,13,cb_63
Arbutus & 16th,49.257654,-123.153212,15,cb_64
Cypress & 14th,49.25919,-123.148268,3,cb_65
Cypress & 16th,49.25741,-123.148531,7,cb_66
Georgia & Thurlow,49.285953,-123.124066,8,cb_67
Thurlow & Pendrell,49.280881,-123.130672,1,cb_68
Heather & 16th,49.256845,-123.120071,5,cb_69
14th & Ontario,49.25849,-123.104799,7,cb_70
14th & Main,49.258425,-123.100792,5,cb_71
David Lam Park - West,49.270905,-123.126006,13,cb_72
Beach & Seymour,49.273568,-123.129935,9,cb_73
Richards & Helmcken,49.277141,-123.122589,2,cb_74
Burrard & 4th,49.267859,-123.145782,10,cb_75
Burrard & 7th,49.265336,-123.145823,7,cb_76
South False Creek Seawall,49.267628,-123.127698,10,cb_77
Chestnut & McNicoll,49.275938,-123.145939,2,cb_78
Creekside Park North,49.2756,-123.102661,8,cb_79
Alexander & Main,49.284157,-123.099917,13,cb_80
Arbutus Greenway & 14th,49.258924,-123.152591,7,cb_81
Arbutus Greenway & Fir,49.266774,-123.141135,12,cb_82
Kitsilano Beach Park,49.273355,-123.154493,24,cb_83
Arbutus & McNicoll,49.276144,-123.151272,19,cb_84
Vine & 4th,49.268339,-123.157443,7,cb_85
Alexander & Dunlevy,49.284062,-123.095097,4,cb_86
Alder & 11th,49.261742,-123.13148,7,cb_87
10th & Columbia,49.262206,-123.109091,5,cb_88
1st & Manitoba,49.27023,-123.10651,4,cb_89
10th & Ontario,49.262062,-123.104656,14,cb_90
Quebec & 1st,49.27033,-123.10275,14,cb_91
Columbia & 14th,49.258902,-123.109596,4,cb_92
Bute & Davie,49.282224,-123.132778,2,cb_93
7th & Laurel,49.265071,-123.123864,10,cb_94
7th &  Alder,49.265198,-123.131043,4,cb_95
Science World,49.273691,-123.102232,13,cb_96
1st & Scotia,49.2685027,-123.0975014,16,cb_97
Georgia & Main,49.278529,-123.100017,12,cb_98
Shaw Tower,49.288682,-123.11818,9,cb_99
Pine & 14th,49.258864,-123.14353,0,cb_100
York & Yew,49.271741,-123.155421,5,cb_101
Pine & 10th,49.262822,-123.14338,4,cb_102
8th & Scotia,49.263635,-123.099236,6,cb_103
Alberni & Jervis,49.28763,-123.127245,7,cb_104
Stanley Park - Information Booth,49.297933,-123.130758,11,cb_105
14th & Alder,49.258819,-123.131317,8,cb_106
Pender & Gore,49.280284,-123.097052,9,cb_107
Carrall & Seawall,49.276294,-123.106534,14,cb_108
Glen & Union,49.277469,-123.081315,8,cb_109
Adanac & McLean,49.277665,-123.073653,21,cb_110
Commercial & Adanac,49.277436,-123.070427,3,cb_111
Pender & Commercial,49.280332,-123.070068,8,cb_112
Keefer & Princess,49.279369,-123.091241,6,cb_113
Alexander & Railway,49.283992,-123.091206,9,cb_114
Napier & Commercial,49.274881,-123.069323,7,cb_115
Britannia Parking Lot,49.275882,-123.071865,11,cb_116
Thornton & National,49.273777,-123.092723,6,cb_117
Keith & 6th,49.265005,-123.079481,10,cb_118
Glen & 6th,49.265024,-123.08127,8,cb_119
Grant & Commercial,49.271377,-123.069416,3,cb_120
2nd & Commercial,49.268616,-123.069908,6,cb_121
4th & Commercial,49.266969,-123.069936,7,cb_122
8th & Commercial,49.263242,-123.070521,17,cb_123
